time,BTC,ETH,XRP,AAPL,AMZN,GOOGL,INFY.NS,MSFT,RELIANCE.NS,TCS.NS,TSLA
28-09-2020,10699,354.01,0.241,111.8236,158.7025,72.4334,898.6018,200.8164,1004.9171,2256.1423,140.4
29-09-2020,10841.29,359.92,0.2428,110.9774,157.244,72.7989,897.3566,198.7261,1017.9759,2313.8877,139.69
30-09-2020,10779.42,359.82,0.2418,112.6505,157.4365,72.7781,896.6896,201.6698,1013.1241,2317.5142,143.0033
01-10-2020,10622.79,353.21,0.2381,113.6037,161.063,73.8854,905.0495,203.712,1008.9979,2346.4792,149.3867
02-10-2020,10576.64,345.83,0.2341,109.9366,156.25,72.2815,905.0495,197.7002,1008.9979,2346.4792,138.3633
05-10-2020,10795.11,353.76,0.2503,113.3216,159.96,73.6336,932.6638,201.7177,1003.0807,2516.0413,141.8933
06-10-2020,10603.9,340.85,0.2456,110.0728,154.998,72.054,938.934,197.4317,1002.2418,2523.9451,137.9933
07-10-2020,10672.67,341.91,0.2488,111.9404,159.7845,72.4573,948.5389,201.1904,1023.621,2544.0767,141.7667
08-10-2020,10929.4,351.2,0.2514,111.8334,159.5275,73.6634,972.6845,201.9095,1015.3459,2627.532,141.9733
09-10-2020,11058.78,365.41,0.2532,113.7788,164.3325,75.0052,984.3354,206.9241,1012.7161,2615.677,144.6667
12-10-2020,11539.76,386.91,0.2563,121.0061,172.1465,77.6936,1006.8359,212.2839,1014.3484,2631.5305,147.4333
13-10-2020,11427.29,381.41,0.2568,117.7961,172.1815,77.8168,1029.6923,213.6839,1034.1407,2628.323,148.8833
14-10-2020,11429.3,379.11,0.2493,117.8837,168.1855,77.6365,1011.1938,211.7662,1037.2241,2623.7,153.7667
15-10-2020,11508.31,377.7,0.2461,117.4168,166.9325,77.2408,985.6247,210.6156,1000.496,2559.2659,149.6267
16-10-2020,11326.25,365.58,0.2402,115.7729,163.6355,77.8481,1002.7451,210.6156,986.5757,2580.4639,146.5567
19-10-2020,11756.88,379.41,0.2457,112.8158,160.3605,75.9735,1001.3219,205.3996,986.757,2532.1379,143.61
20-10-2020,11921.78,368.74,0.2435,114.3041,160.8505,77.0228,1011.6382,205.8119,977.5525,2557.7717,140.6467
21-10-2020,12813.11,391.46,0.2514,113.6815,159.247,78.7563,1021.288,205.9557,963.36,2498.3799,140.88
22-10-2020,12990.25,414.5,0.2575,112.5921,158.82,79.7827,1004.1234,206.042,955.357,2494.4111,141.93
23-10-2020,12937.2,409.57,0.255,111.9014,160.22,81.0897,1009.0224,207.3268,958.123,2509.0261,140.21
26-10-2020,13069.43,393.11,0.2484,111.9112,160.352,78.6719,999.9882,201.4301,920.0574,2510.3333,140.0933
27-10-2020,13646.02,403.74,0.2528,113.4189,164.3165,79.3964,980.5719,204.4695,922.5059,2456.1235,141.56
28-10-2020,13285.97,388.77,0.2458,108.1662,158.139,75.0226,967.7178,194.3347,912.0543,2448.7,135.34
29-10-2020,13462.18,387.54,0.2424,112.1738,160.5505,77.3108,966.1895,196.2907,919.0598,2458.4585,136.9433
30-10-2020,13565.95,382.76,0.2393,105.89,151.8075,80.252,953.3801,194.1334,931.5746,2488.5276,129.3467
02-11-2020,13571.24,383.61,0.2356,105.8025,150.224,80.6597,963.8974,193.9991,851.2946,2432.2651,133.5033
03-11-2020,14023.78,388.18,0.2395,107.427,152.4205,81.7194,955.1331,197.9303,839.0292,2459.3455,141.3
04-11-2020,14157.73,402.66,0.2379,111.8139,162.058,86.6946,983.3585,207.4803,867.5046,2477.6018,140.3267
05-11-2020,15599.92,416.89,0.2458,115.7826,166.1,87.5214,992.3926,214.0961,886.4581,2507.9976,146.03
06-11-2020,15590.62,456.32,0.2589,115.6511,165.5685,87.3838,1000.2582,214.5084,920.0801,2528.3091,143.3167
09-11-2020,15335.03,444.45,0.2506,113.3418,157.187,87.4677,1021.6521,209.3979,929.8515,2546.1924,140.42
10-11-2020,15313.73,450.86,0.2542,113.0007,151.751,86.2908,980.7518,202.3217,945.2001,2474.2869,136.7867
11-11-2020,15707.08,463.91,0.2562,116.4306,156.8695,86.7631,1009.0224,207.6337,905.5928,2509.9595,139.0433
12-11-2020,16306.53,462.78,0.255,116.1578,155.514,86.5441,1004.7526,206.5694,897.7938,2494.3176,137.2533
13-11-2020,16332.85,476.87,0.266,116.2065,156.4405,88.006,1010.5505,207.5953,905.2301,2481.0569,136.1667
14-11-2020,16075.95,461.03,0.2685,116.2065,156.4405,88.006,1018.8655,207.5953,907.9055,2493.6643,136.1667
16-11-2020,16721.46,461.01,0.2881,117.2198,156.553,88.0939,1018.8655,208.2856,907.9055,2493.6643,136.03
17-11-2020,17681.54,482.71,0.3027,116.3331,156.783,87.4796,1010.1011,205.6297,903.8019,2489.6487,147.2033
18-11-2020,17786.27,478.76,0.2936,115.008,155.273,86.4358,998.2805,202.9187,901.0586,2452.8552,162.2133
19-11-2020,17824.64,471.82,0.3042,115.6023,155.851,87.3262,985.8756,204.2069,894.6879,2462.4272,166.4233
20-11-2020,18672.78,510.43,0.3303,114.3356,154.97,86.2243,991.8083,202.2554,861.2927,2484.2327,163.2033
23-11-2020,18385.74,609.13,0.6175,110.935,154.9195,85.7863,1024.6185,201.9862,884.5084,2543.9978,173.95
24-11-2020,19157.16,604.98,0.694,112.2212,155.903,87.5909,1024.7983,205.5912,890.5617,2541.9438,185.1267
25-11-2020,18725.76,569.4,0.6308,113.0592,159.2535,87.6023,1002.8649,205.6008,883.1934,2522.5662,191.3333
26-11-2020,17175.86,520.22,0.5374,113.0592,159.2535,87.6023,1000.6625,205.6008,885.3698,2540.5891,191.3333
27-11-2020,17155,518.83,0.5626,113.6048,159.767,88.739,988.7971,206.9082,875.0316,2502.3486,195.2533
30-11-2020,19686.87,616.14,0.6649,116.0018,158.402,87.1191,988.7971,205.7931,875.0316,2502.3486,189.2
01-12-2020,18792.03,586.23,0.6115,119.5779,161.004,89.1531,1022.8203,207.8504,886.4128,2546.3787,194.92
02-12-2020,19226.19,598.26,0.631,119.9287,160.1765,90.6235,1025.5624,207.0428,887.8865,2567.6238,189.6067
03-12-2020,19448.44,616.55,0.6311,119.7923,159.3365,90.468,1012.5732,205.9566,890.5617,2530.177,197.7933
04-12-2020,18665,567.67,0.554,119.1199,158.129,90.5634,1019.9442,206.0719,882.7173,2547.0796,199.68
07-12-2020,19181.41,591.36,0.6083,120.5815,157.9,90.2292,1027.8994,206.0046,887.9091,2556.5571,213.92
08-12-2020,18323.52,554.82,0.5589,121.1954,158.8645,89.9461,1036.7538,207.6581,904.0286,2612.2141,216.6267
09-12-2020,18549.92,573.44,0.5832,118.6619,155.21,88.2841,1056.3947,203.6109,919.0825,2624.8218,201.4933
10-12-2020,18250.47,558.36,0.572,120.0846,155.0745,87.7771,1049.698,202.3804,910.0366,2600.0747,209.0233
11-12-2020,18034.86,544.14,0.5607,119.2758,155.821,88.1321,1045.608,205.0145,909.4924,2599.4211,203.33
14-12-2020,19274.69,586.35,0.4975,118.6619,157.8485,87.0129,1046.8217,205.9181,902.9177,2612.5884,213.2767
15-12-2020,19441.96,589.17,0.4686,124.6057,158.256,87.4508,1037.8773,205.8508,895.232,2578.8301,211.0833
16-12-2020,21352.13,637.74,0.5707,124.5376,162.048,87.2577,1047.8551,210.8017,896.2295,2627.9961,207.59
17-12-2020,22822.17,643.16,0.5779,125.4047,161.804,86.4294,1042.0122,210.9363,900.3331,2650.4082,218.6333
18-12-2020,23135.57,654.55,0.5841,123.417,160.0825,85.7198,1069.5188,210.1384,903.031,2671.6995,231.6667
21-12-2020,22727.13,607.9,0.5145,124.9468,160.309,86.1339,1058.2823,213.9837,879.5205,2633.5522,216.62
22-12-2020,23823.32,637.23,0.4464,128.5033,160.326,85.4218,1097.1151,215.2815,878.1603,2682.4385,213.4467
23-12-2020,23239.5,585.25,0.2606,127.6069,159.2635,85.8196,1126.3746,212.4745,881.4024,2716.2908,215.3267
24-12-2020,23724.2,612.32,0.3382,128.591,158.6345,86.1141,1111.0935,214.1376,904.21,2716.8506,220.59
28-12-2020,27039.45,729.59,0.2477,133.1902,164.198,88.0904,1114.9136,216.2621,908.3588,2735.5737,221.23
29-12-2020,27360.78,731.55,0.2211,131.4167,166.1,87.286,1123.903,215.4834,902.3508,2736.6008,221.9967
